,Number_of_beds,Number_of_hospitals,State,County,Urban_Rural_Code,Deaths_COVID,Deaths_total,never,rarely,sometimes,frequently,always,mask_score,total_population,white_total_pct,black_total_pct,aian_total_pct,asian_total_pct,nhopi_total_pct,multiracial_total_pct
70,25.0,1.0,OR,Harney,,0,0,0.032,0.099,0.114,0.157,0.598,3.19,7393.0,90.63,1.04,4.42,0.6,0.01,3.3
71,25.0,1.0,OR,Hood River,,0,0,0.03,0.071,0.127,0.162,0.61,3.251,23382.0,93.32,0.8,1.28,1.77,0.24,2.61
72,543.0,3.0,OR,Jackson,Small metro,51,"2,594",0.044,0.077,0.075,0.138,0.665,3.301,220944.0,91.84,0.98,1.65,1.58,0.36,3.59
73,31.0,1.0,OR,Jefferson,,0,0,0.018,0.062,0.012,0.25,0.657,3.464,24658.0,75.88,1.22,18.35,0.88,0.24,3.44
74,98.0,1.0,OR,Josephine,Small metro,10,"1,172",0.0279999999999999,0.0559999999999999,0.072,0.192,0.652,3.3840000000000003,87487.0,92.88,0.61,1.7,1.07,0.28,3.46
75,131.0,1.0,OR,Klamath,,0,0,0.0969999999999999,0.031,0.062,0.2269999999999999,0.583,3.168,68238.0,88.44,0.93,4.97,1.15,0.22,4.3
76,24.0,1.0,OR,Lake,,0,0,0.05,0.017,0.127,0.247,0.5579999999999999,3.244,7869.0,91.21,0.74,2.57,1.27,0.2,4.02
77,971.0,5.0,OR,Lane,Medium metro,58,"4,017",0.031,0.036,0.077,0.1369999999999999,0.7190000000000001,3.4770000000000003,382067.0,89.04,1.26,1.64,3.17,0.27,4.62
78,50.0,2.0,OR,Lincoln,Micropolitan,13,534,0.001,0.012,0.047,0.131,0.81,3.739,49962.0,89.6,0.93,4.04,1.36,0.21,3.85
79,89.0,2.0,OR,Linn,Small metro,28,"1,361",0.057,0.025,0.096,0.159,0.664,3.35,129749.0,92.47,0.8,1.66,1.26,0.22,3.6
80,49.0,2.0,OR,Malheur,Micropolitan,13,283,0.071,0.206,0.213,0.206,0.305,2.47,30571.0,91.95,1.68,2.01,1.51,0.22,2.64
81,478.0,4.0,OR,Marion,Medium metro,143,"2,943",0.0289999999999999,0.013,0.053,0.196,0.71,3.547,347818.0,88.63,1.58,2.62,2.48,1.03,3.66
82,12.0,1.0,OR,Morrow,,0,0,0.026,0.004,0.083,0.1969999999999999,0.69,3.521,11603.0,92.9,1.12,2.52,0.59,0.32,2.55
83,1894.0,10.0,OR,Multnomah,Large central metro,396,"7,139",0.013,0.016,0.054,0.178,0.738,3.61,812855.0,79.04,6.01,1.45,8.08,0.69,4.73
84,6.0,1.0,OR,Polk,,0,0,0.013,0.022,0.078,0.242,0.645,3.484,86085.0,89.85,1.12,2.48,2.07,0.49,3.98
85,0.0,0.0,OR,Sherman,,0,0,0.008,0.0139999999999999,0.046,0.271,0.66,3.559,1780.0,93.43,0.45,2.87,0.84,0.06,2.36
86,25.0,1.0,OR,Tillamook,,0,0,0.125,0.04,0.092,0.163,0.581,3.037,27036.0,93.35,0.74,1.56,1.02,0.35,2.97
87,74.0,3.0,OR,Umatilla,Micropolitan,40,638,0.043,0.01,0.081,0.155,0.71,3.477,77950.0,90.38,1.23,4.33,1.15,0.26,2.66
88,25.0,1.0,OR,Union,,0,0,0.034,0.088,0.086,0.1889999999999999,0.603,3.239,26835.0,92.55,0.83,1.27,1.26,1.35,2.74
89,25.0,1.0,OR,Wallowa,,0,0,0.0409999999999999,0.083,0.146,0.2289999999999999,0.501,3.066,7208.0,95.59,0.46,0.94,0.5,0.14,2.37
90,49.0,1.0,OR,Wasco,Micropolitan,17,314,0.019,0.034,0.069,0.1969999999999999,0.6809999999999999,3.487,26682.0,90.96,0.81,3.76,1.12,0.72,2.63
91,840.0,5.0,OR,Washington,Large fringe metro,168,"3,718",0.006,0.009,0.059,0.1689999999999999,0.7559999999999999,3.658,601592.0,79.63,2.53,1.13,11.71,0.53,4.48
92,0.0,0.0,OR,Wheeler,,0,0,0.023,0.07,0.049,0.2319999999999999,0.626,3.368,1332.0,91.89,0.23,2.55,1.05,0.23,4.05
93,107.0,2.0,OR,Yamhill,Large fringe metro,22,911,0.021,0.035,0.072,0.143,0.7290000000000001,3.5240000000000005,107100.0,91.36,1.2,2.01,2.02,0.25,3.16
94,45.0,2.0,WA,Adams,,0,0,0.077,0.051,0.072,0.076,0.7240000000000001,3.3190000000000004,20151.0,89.6,2.22,5.5,1.42,0.05,1.2
95,25.0,1.0,WA,Asotin,Small metro,15,234,0.0139999999999999,0.0289999999999999,0.115,0.32,0.522,3.307,22521.0,93.63,0.64,1.58,0.82,0.26,3.07
96,438.0,4.0,WA,Benton,Medium metro,205,"2,024",0.084,0.011,0.064,0.08,0.7609999999999999,3.423,201803.0,90.16,1.67,1.24,3.39,0.23,3.3
97,267.0,4.0,WA,Chelan,Small metro,65,975,0.062,0.048,0.0289999999999999,0.297,0.564,3.253,78421.0,93.59,0.65,1.91,1.18,0.25,2.42
